ID,Brand,Category,Model Name,Reference No.,Price (USD),Currency,Release Date,Gender,Case Material,Case Diameter (mm),Case Thickness (mm),Dial Color,Strap Material,Strap Color,Water Resistance (m),Crystal Type,Movement Type,Power Reserve (hours),Complications,Availability,Warranty (Years),Country of Origin
73501,Seiko,Sports,Prospex,SE80419,12816.01,USD,24/07/2023,Unisex,Resin,34.2,11.1,Blue,Rubber,Brown,300,Plastic,Quartz,80,World Time,In Stock,1,Japan
73502,Daniel Wellington,Minimalist,Petite,DA62760,6445.82,USD,07/07/2023,Men's,Bronze,41.4,6.9,Blue,Silicone,Silver,200,Gorilla Glass,Quartz,70,GMT,Out of Stock,4,Sweden
73503,Rolex,Luxury,Oyster Perpetual,RO56295,5197.55,USD,02/07/2022,Men's,Titanium,43.8,13.5,Green,Leather,Silver,300,Plastic,Automatic,40,Date,In Stock,1,Switzerland
73504,Tissot,Classic,Le Locle,TI26734,12120.01,USD,16/09/2022,Women's,Brass,40.2,11.5,Gold,Leather,Red,100,Sapphire,Automatic,0,Chronograph,Limited Stock,5,Switzerland
73505,Rolex,Luxury,Oyster Perpetual,RO75333,9326.08,USD,21/10/2024,Unisex,Bronze,38.4,13.4,Silver,Canvas,Blue,200,Plastic,Automatic,0,World Time,In Stock,5,Switzerland
73506,TAG Heuer,Sports,Carrera,TA13700,10727.19,USD,29/06/2021,Men's,Stainless Steel,44.6,9.7,Blue,Rubber,Red,300,Mineral,Automatic,60,GMT,Limited Stock,5,Switzerland
73507,Timex,Casual,Weekender,TI97126,9333.37,USD,19/11/2022,Men's,Ceramic,42.5,10.4,Gray,Rubber,Black,200,Mineral,Quartz,60,World Time,Limited Stock,2,USA
73508,Garmin,Smartwatch,Fenix,GA58867,10488.85,USD,28/06/2025,Unisex,Ceramic,39.1,7.5,Green,Canvas,Gold,300,Sapphire,Digital,40,Chronograph,In Stock,2,Taiwan
73509,Daniel Wellington,Minimalist,Petite,DA67489,5490.36,USD,03/05/2024,Men's,Bronze,32.5,9.4,Silver,Mesh Steel,Green,300,Hardlex,Quartz,80,Date,In Stock,2,Sweden
73510,Hublot,Luxury,Big Bang,HU84823,4042.62,USD,20/01/2023,Unisex,Bioceramic,38.4,10.6,Red,Rubber,Red,50,Hardlex,Automatic,40,Chronograph,In Stock,3,Switzerland
73511,Casio,Digital,G-Shock,CA67120,13121.12,USD,31/05/2021,Men's,Titanium,42.9,13.2,Black,Mesh Steel,Blue,50,Hardlex,Digital,40,Moonphase,In Stock,5,Japan
73512,Rolex,Luxury,Oyster Perpetual,RO40630,1125.02,USD,21/12/2021,Unisex,Aluminum,40.2,11.3,Blue,Leather,Red,100,Gorilla Glass,Automatic,60,Date,Out of Stock,3,Switzerland
73513,Montblanc,Luxury,1858 Geosphere,MO73100,13247.65,USD,28/05/2025,Women's,Aluminum,39.8,11.3,Green,Leather,Brown,300,Hardlex,Automatic,70,Moonphase,Limited Stock,2,Switzerland
73514,Fossil,Fashion,Gen 6,FO15763,14651.63,USD,26/01/2025,Women's,Titanium,34.9,9.4,Blue,Silicone,Black,30,Mineral,Smart,70,World Time,Out of Stock,5,USA
73515,Omega,Dress,Speedmaster,OM68475,5465,USD,21/01/2024,Women's,Bioceramic,42.1,8.9,Red,Silicone,Silver,200,Gorilla Glass,Automatic,40,Moonphase,Pre-Order,5,Switzerland
73516,Longines,Dress,Master Collection,LO60411,632.71,USD,06/10/2020,Women's,Brass,43.9,8.6,Red,Mesh Steel,Black,30,Mineral,Automatic,60,Chronograph,Out of Stock,3,Switzerland
73517,Garmin,Smartwatch,Fenix,GA89318,112.27,USD,09/07/2023,Unisex,Titanium,34.1,15,Gray,Nylon,Red,50,Gorilla Glass,Digital,60,Date,Out of Stock,4,Taiwan
73518,TAG Heuer,Sports,Carrera,TA93617,13938.66,USD,08/06/2023,Unisex,Ceramic,39.7,13.6,Green,Rubber,Silver,100,Plastic,Automatic,60,None,In Stock,2,Switzerland
73519,Omega,Dress,Speedmaster,OM84284,4242.57,USD,25/06/2023,Women's,Bronze,33.9,9.1,Blue,Silicone,Gold,100,Plastic,Automatic,0,GMT,Out of Stock,3,Switzerland
73520,Hamilton,Military,Khaki Field,HA96435,6298.83,USD,01/01/2024,Women's,Bronze,40.6,14,Silver,Canvas,Silver,200,Gorilla Glass,Automatic,80,Date,In Stock,3,USA
73521,Daniel Wellington,Minimalist,Petite,DA14401,11155.13,USD,19/05/2023,Women's,Titanium,34.6,14.7,Gray,Leather,Brown,300,Hardlex,Quartz,70,GMT,In Stock,4,Sweden
73522,Seiko,Sports,Prospex,SE74569,2488.34,USD,04/03/2024,Unisex,Resin,34.3,12.9,Green,Silicone,Gold,200,Hardlex,Quartz,70,GMT,Out of Stock,2,Japan
73523,Orient,Classic,Bambino,OR28107,10591.76,USD,18/10/2020,Men's,Aluminum,45.5,8.9,Blue,Nylon,Blue,200,Hardlex,Automatic,70,World Time,Out of Stock,2,Japan
73524,Timex,Casual,Weekender,TI44365,11321.89,USD,03/08/2024,Women's,Bronze,33.2,9.5,Blue,Rubber,Blue,30,Hardlex,Quartz,70,Moonphase,Limited Stock,1,USA
73525,Timex,Casual,Weekender,TI71763,12306.77,USD,23/09/2022,Women's,Bioceramic,43.9,12.6,Blue,Silicone,Red,300,Sapphire,Quartz,70,Chronograph,Out of Stock,4,USA
73526,Casio,Digital,G-Shock,CA20959,241.65,USD,18/03/2021,Women's,Aluminum,42.7,14.8,Black,Mesh Steel,Blue,50,Sapphire,Digital,70,Moonphase,Pre-Order,3,Japan
73527,Apple,Smartwatch,Watch Series,AP55610,6264.8,USD,02/11/2020,Unisex,Stainless Steel,36.2,11.7,Green,Silicone,Green,100,Hardlex,Smart,40,GMT,Pre-Order,5,China
73528,Hublot,Luxury,Big Bang,HU78961,9275.09,USD,06/01/2025,Unisex,Stainless Steel,40.9,12,Red,Mesh Steel,Silver,300,Plastic,Automatic,0,World Time,Pre-Order,1,Switzerland
73529,Orient,Classic,Bambino,OR75792,9971.33,USD,28/02/2023,Unisex,Brass,36.4,8.4,Gold,Mesh Steel,Green,50,Hardlex,Automatic,80,Date,Out of Stock,3,Japan
73530,Casio,Digital,G-Shock,CA48938,9239.7,USD,28/05/2025,Men's,Bioceramic,33.7,13.6,Silver,Rubber,Black,200,Gorilla Glass,Digital,40,GMT,In Stock,4,Japan
73531,Tissot,Classic,Le Locle,TI88715,14019.47,USD,08/10/2022,Men's,Ceramic,43.6,7.1,Gold,Rubber,Red,300,Mineral,Automatic,60,World Time,In Stock,2,Switzerland
73532,Omega,Dress,Speedmaster,OM77240,9395.32,USD,11/03/2025,Men's,Bioceramic,32.4,13.6,Blue,Leather,Red,30,Mineral,Automatic,0,Moonphase,In Stock,5,Switzerland
73533,Tissot,Classic,Le Locle,TI80044,4362.8,USD,26/10/2020,Men's,Aluminum,42.8,7.3,White,Nylon,Blue,30,Hardlex,Automatic,0,None,Pre-Order,2,Switzerland
73534,Seiko,Sports,Prospex,SE56025,7390.52,USD,15/07/2023,Men's,Aluminum,42.8,11.9,Black,Silicone,Red,30,Plastic,Quartz,70,Moonphase,Pre-Order,4,Japan
73535,Apple,Smartwatch,Watch Series,AP70518,4569.46,USD,13/05/2024,Unisex,Resin,32.3,9,Blue,Silicone,Blue,300,Mineral,Smart,0,Moonphase,Out of Stock,5,China
73536,Casio,Digital,G-Shock,CA52042,83.62,USD,05/05/2022,Unisex,Bioceramic,40.1,8.4,Gray,Silicone,Green,200,Sapphire,Digital,0,None,Out of Stock,1,Japan
73537,Seiko,Sports,Prospex,SE60833,14296.37,USD,27/05/2023,Unisex,Ceramic,33.1,6.9,Gold,Rubber,Silver,50,Mineral,Quartz,80,Date,In Stock,3,Japan
73538,Casio,Digital,G-Shock,CA10135,5734.7,USD,26/05/2021,Men's,Titanium,35.5,7.9,White,Canvas,Green,200,Hardlex,Digital,70,GMT,Limited Stock,4,Japan
73539,Garmin,Smartwatch,Fenix,GA94746,13240.32,USD,30/01/2025,Women's,Stainless Steel,44.9,7,Red,Canvas,Red,100,Sapphire,Digital,60,Chronograph,In Stock,4,Taiwan
73540,Apple,Smartwatch,Watch Series,AP90905,3142.03,USD,06/12/2021,Women's,Bioceramic,33.1,13.1,Black,Silicone,Black,200,Hardlex,Smart,60,Chronograph,Out of Stock,4,China
73541,Seiko,Sports,Prospex,SE25968,12611.28,USD,19/05/2024,Men's,Stainless Steel,44.3,13.7,White,Leather,Green,30,Plastic,Quartz,60,Chronograph,Out of Stock,1,Japan
73542,Swatch,Fashion,MoonSwatch,SW19368,2882.7,USD,12/12/2020,Women's,Titanium,35.1,14.2,Blue,Silicone,Blue,200,Sapphire,Quartz,0,Date,Pre-Order,3,Switzerland
73543,Swatch,Fashion,MoonSwatch,SW39692,14015.65,USD,01/07/2025,Men's,Titanium,32.6,13.2,Black,Canvas,Blue,200,Plastic,Quartz,70,World Time,Out of Stock,5,Switzerland
73544,Casio,Digital,G-Shock,CA43664,3902.79,USD,12/01/2021,Unisex,Bronze,37.1,8.1,Green,Rubber,Blue,300,Sapphire,Digital,0,Moonphase,In Stock,2,Japan
73545,Orient,Classic,Bambino,OR77522,7921,USD,24/02/2024,Men's,Resin,43.3,10.6,Gray,Silicone,Brown,300,Plastic,Automatic,40,None,In Stock,5,Japan
73546,Fossil,Fashion,Gen 6,FO74003,3740.79,USD,05/11/2023,Men's,Resin,45.9,12.2,Green,Silicone,Gold,300,Mineral,Smart,80,Chronograph,In Stock,5,USA
73547,Rolex,Luxury,Oyster Perpetual,RO51048,13660.82,USD,07/08/2022,Unisex,Ceramic,42.6,10.7,Gray,Mesh Steel,Silver,30,Gorilla Glass,Automatic,70,Chronograph,Pre-Order,4,Switzerland
73548,Citizen,Eco-Drive,Promaster,CI85905,2965.17,USD,20/01/2025,Men's,Aluminum,43.4,14.9,White,Silicone,Red,300,Gorilla Glass,Solar Powered,70,Date,Pre-Order,5,Japan
73549,Omega,Dress,Speedmaster,OM40275,7859.38,USD,31/08/2023,Men's,Bioceramic,33.8,15,Silver,Mesh Steel,Gold,30,Hardlex,Automatic,80,Moonphase,In Stock,3,Switzerland
73550,Omega,Dress,Speedmaster,OM31606,4988.99,USD,23/09/2023,Men's,Bioceramic,33.5,7,Red,Mesh Steel,Blue,300,Hardlex,Automatic,60,Date,In Stock,1,Switzerland
73551,Hamilton,Military,Khaki Field,HA45943,14181.42,USD,09/06/2025,Unisex,Resin,45.9,10.7,Silver,Silicone,Gold,30,Sapphire,Automatic,70,Chronograph,Limited Stock,1,USA
73552,Rolex,Luxury,Oyster Perpetual,RO21838,5773.78,USD,04/06/2022,Men's,Titanium,43.9,7.8,Green,Canvas,Green,200,Plastic,Automatic,80,Moonphase,In Stock,5,Switzerland
73553,Timex,Casual,Weekender,TI83863,14770.79,USD,24/03/2022,Unisex,Titanium,33.5,13.8,Silver,Mesh Steel,Blue,300,Plastic,Quartz,40,Chronograph,Out of Stock,1,USA
73554,Casio,Digital,G-Shock,CA87183,6410.17,USD,22/06/2021,Men's,Resin,40.6,10.5,Blue,Canvas,Blue,50,Sapphire,Digital,80,Date,Limited Stock,1,Japan
73555,TAG Heuer,Sports,Carrera,TA34598,918.93,USD,10/01/2022,Unisex,Resin,38.4,11.9,Red,Nylon,Green,300,Plastic,Automatic,80,Date,In Stock,3,Switzerland
73556,Daniel Wellington,Minimalist,Petite,DA73194,11605.19,USD,26/03/2024,Women's,Bronze,46,11.7,Silver,Rubber,Red,200,Hardlex,Quartz,70,Chronograph,In Stock,1,Sweden
73557,Orient,Classic,Bambino,OR70844,3965.24,USD,10/01/2021,Unisex,Stainless Steel,37.3,7.5,White,Nylon,Green,300,Plastic,Automatic,80,World Time,Out of Stock,2,Japan
73558,Hamilton,Military,Khaki Field,HA47955,13420.64,USD,14/11/2022,Women's,Resin,42.8,10.3,Blue,Canvas,Black,100,Gorilla Glass,Automatic,60,Chronograph,In Stock,4,USA
73559,Fossil,Fashion,Gen 6,FO30479,7713.2,USD,31/07/2021,Women's,Bronze,44.3,10.5,Blue,Nylon,Silver,300,Plastic,Smart,60,Chronograph,Pre-Order,2,USA
73560,Timex,Casual,Weekender,TI11488,9117.14,USD,08/08/2024,Women's,Brass,40.5,13.4,Black,Leather,Brown,200,Plastic,Quartz,70,Moonphase,Out of Stock,2,USA
73561,Hamilton,Military,Khaki Field,HA56065,14210.09,USD,24/12/2021,Unisex,Bronze,38.7,12,Silver,Mesh Steel,Black,200,Gorilla Glass,Automatic,60,World Time,Pre-Order,2,USA
73562,Montblanc,Luxury,1858 Geosphere,MO78849,14803.96,USD,06/03/2023,Women's,Aluminum,32.3,12.9,Gray,Rubber,Gold,100,Sapphire,Automatic,80,World Time,In Stock,1,Switzerland
73563,Citizen,Eco-Drive,Promaster,CI18484,11649.84,USD,22/06/2021,Men's,Bioceramic,42.2,7.2,Green,Canvas,Green,300,Plastic,Solar Powered,70,Chronograph,In Stock,4,Japan
73564,Swatch,Fashion,MoonSwatch,SW71141,11506.85,USD,22/10/2020,Men's,Resin,42.6,13.3,Green,Silicone,Brown,300,Sapphire,Quartz,40,Chronograph,Pre-Order,3,Switzerland
73565,Longines,Dress,Master Collection,LO46185,8848.2,USD,04/10/2021,Women's,Resin,35.2,8.6,Red,Silicone,Brown,50,Mineral,Automatic,70,World Time,In Stock,5,Switzerland
73566,Hamilton,Military,Khaki Field,HA51529,2956.24,USD,21/02/2022,Unisex,Aluminum,33.1,14,Silver,Nylon,Silver,30,Sapphire,Automatic,80,Date,Limited Stock,3,USA
73567,Omega,Dress,Speedmaster,OM79253,3246.02,USD,24/02/2022,Women's,Ceramic,34.6,11.9,White,Nylon,Black,100,Sapphire,Automatic,70,None,Pre-Order,2,Switzerland
73568,Daniel Wellington,Minimalist,Petite,DA93593,5762.73,USD,29/03/2021,Women's,Aluminum,35.7,6.9,Red,Leather,Blue,200,Hardlex,Quartz,60,GMT,Limited Stock,4,Sweden
73569,Seiko,Sports,Prospex,SE50593,11739.98,USD,20/09/2023,Women's,Brass,45.3,13.7,Red,Mesh Steel,Red,50,Plastic,Quartz,60,Chronograph,Pre-Order,4,Japan
73570,TAG Heuer,Sports,Carrera,TA70134,4861,USD,31/05/2022,Unisex,Resin,45.4,12.2,Red,Silicone,Brown,30,Gorilla Glass,Automatic,80,None,Limited Stock,5,Switzerland
73571,Citizen,Eco-Drive,Promaster,CI39646,3267.06,USD,21/03/2022,Women's,Brass,36.8,11.2,Blue,Leather,Blue,50,Plastic,Solar Powered,70,Chronograph,Limited Stock,1,Japan
73572,Hublot,Luxury,Big Bang,HU58056,9359.54,USD,01/09/2023,Women's,Brass,32.4,8.8,White,Rubber,Blue,30,Gorilla Glass,Automatic,0,None,Limited Stock,5,Switzerland
73573,Tissot,Classic,Le Locle,TI29298,541.41,USD,28/08/2024,Unisex,Brass,41.2,8,Blue,Rubber,Green,30,Gorilla Glass,Automatic,70,GMT,In Stock,5,Switzerland
73574,Hamilton,Military,Khaki Field,HA66430,14962.36,USD,05/09/2022,Unisex,Brass,38.3,9.3,Black,Leather,Silver,200,Gorilla Glass,Automatic,80,Moonphase,In Stock,5,USA
73575,TAG Heuer,Sports,Carrera,TA12384,3796.65,USD,14/02/2021,Men's,Bronze,35.6,14.1,Black,Nylon,Brown,100,Gorilla Glass,Automatic,0,None,Out of Stock,2,Switzerland
73576,Casio,Digital,G-Shock,CA14463,14423.12,USD,22/03/2023,Women's,Brass,38.7,10.2,Green,Silicone,Green,100,Plastic,Digital,40,Date,In Stock,1,Japan
73577,Fossil,Fashion,Gen 6,FO50439,4530.7,USD,21/12/2022,Men's,Aluminum,33.1,11.1,Red,Mesh Steel,Blue,300,Gorilla Glass,Smart,60,GMT,Out of Stock,2,USA
73578,Orient,Classic,Bambino,OR14711,3240.08,USD,06/01/2023,Unisex,Titanium,33.2,9.3,Gold,Leather,Blue,100,Sapphire,Automatic,40,Date,In Stock,2,Japan
73579,Omega,Dress,Speedmaster,OM99489,8966.68,USD,25/10/2023,Men's,Bronze,33.4,11.2,White,Canvas,Gold,100,Plastic,Automatic,80,None,Pre-Order,1,Switzerland
73580,Tissot,Classic,Le Locle,TI27647,834.7,USD,31/03/2021,Men's,Brass,44.5,13.4,Silver,Rubber,Silver,200,Plastic,Automatic,60,Chronograph,Out of Stock,4,Switzerland
73581,Fossil,Fashion,Gen 6,FO60442,12797.47,USD,29/10/2024,Men's,Titanium,46,13.9,Black,Rubber,Blue,100,Gorilla Glass,Smart,60,World Time,Out of Stock,5,USA
73582,Seiko,Sports,Prospex,SE98064,14565.51,USD,31/05/2024,Men's,Bioceramic,40.8,8.7,Blue,Canvas,Black,50,Hardlex,Quartz,0,Chronograph,In Stock,3,Japan
73583,Swatch,Fashion,MoonSwatch,SW72881,5063.75,USD,05/06/2025,Men's,Brass,43.2,8.1,White,Leather,Blue,50,Hardlex,Quartz,60,GMT,Pre-Order,3,Switzerland
73584,Garmin,Smartwatch,Fenix,GA60314,11164.64,USD,22/02/2022,Unisex,Bronze,33,13.6,Green,Canvas,Black,100,Mineral,Digital,40,GMT,Pre-Order,5,Taiwan
73585,Citizen,Eco-Drive,Promaster,CI11114,6964.35,USD,10/05/2021,Women's,Bronze,42,11.4,Gold,Nylon,Blue,100,Gorilla Glass,Solar Powered,70,Moonphase,Out of Stock,1,Japan
73586,Hamilton,Military,Khaki Field,HA14922,967.61,USD,17/01/2024,Unisex,Aluminum,39.6,11.7,Silver,Leather,Gold,300,Gorilla Glass,Automatic,80,Moonphase,In Stock,5,USA
73587,Montblanc,Luxury,1858 Geosphere,MO17702,10982.51,USD,05/12/2022,Men's,Brass,38.3,13.5,White,Rubber,Brown,100,Mineral,Automatic,80,GMT,Limited Stock,5,Switzerland
73588,Seiko,Sports,Prospex,SE33613,4103.31,USD,13/10/2023,Men's,Bronze,45.9,11.7,Black,Nylon,Black,200,Sapphire,Quartz,40,GMT,In Stock,4,Japan
73589,Hamilton,Military,Khaki Field,HA32061,2381.9,USD,17/02/2022,Women's,Resin,34.1,8.3,Green,Silicone,Black,100,Gorilla Glass,Automatic,60,Date,Pre-Order,3,USA
73590,Montblanc,Luxury,1858 Geosphere,MO69485,2842.42,USD,23/07/2020,Men's,Resin,33.3,10.6,Gray,Silicone,Red,200,Gorilla Glass,Automatic,0,Date,Limited Stock,5,Switzerland
73591,Fossil,Fashion,Gen 6,FO83750,8231.53,USD,02/03/2021,Men's,Aluminum,37.5,13.1,Blue,Mesh Steel,Silver,300,Mineral,Smart,60,None,Pre-Order,1,USA
73592,Hamilton,Military,Khaki Field,HA89972,7451.67,USD,19/09/2024,Men's,Aluminum,45.4,7.4,Black,Silicone,Gold,300,Hardlex,Automatic,80,GMT,In Stock,3,USA
73593,Rolex,Luxury,Oyster Perpetual,RO68914,6171.74,USD,03/10/2020,Unisex,Stainless Steel,43.7,9.4,Red,Canvas,Black,300,Hardlex,Automatic,60,None,Limited Stock,4,Switzerland
73594,Tissot,Classic,Le Locle,TI39246,138.08,USD,23/01/2021,Women's,Brass,44.1,8,White,Nylon,Blue,100,Hardlex,Automatic,80,GMT,Out of Stock,4,Switzerland
73595,Orient,Classic,Bambino,OR83257,5555.68,USD,08/08/2020,Unisex,Aluminum,37,7.8,Black,Silicone,Red,100,Mineral,Automatic,80,Date,Out of Stock,1,Japan
73596,Rolex,Luxury,Oyster Perpetual,RO68291,10380.35,USD,14/12/2021,Women's,Brass,44,11.4,Gray,Nylon,Silver,50,Mineral,Automatic,70,None,Limited Stock,3,Switzerland
73597,Fossil,Fashion,Gen 6,FO41264,13066.08,USD,04/04/2025,Women's,Bioceramic,40.3,11.2,Red,Mesh Steel,Brown,300,Mineral,Smart,80,GMT,Limited Stock,1,USA
73598,Montblanc,Luxury,1858 Geosphere,MO80883,8364.35,USD,07/09/2021,Women's,Bronze,43.7,10.8,Gray,Canvas,Silver,30,Gorilla Glass,Automatic,0,Chronograph,In Stock,5,Switzerland
73599,Timex,Casual,Weekender,TI94677,4545.33,USD,19/09/2023,Women's,Bronze,43.9,12.3,Blue,Rubber,Green,100,Gorilla Glass,Quartz,0,Chronograph,Out of Stock,2,USA
73600,Omega,Dress,Speedmaster,OM20675,1353.19,USD,13/07/2022,Unisex,Stainless Steel,39.5,13.7,Gold,Mesh Steel,Black,300,Hardlex,Automatic,60,Chronograph,Out of Stock,2,Switzerland
73601,Garmin,Smartwatch,Fenix,GA28009,4041,USD,20/12/2024,Unisex,Bronze,33.3,11.2,Gray,Rubber,Blue,30,Hardlex,Digital,60,Date,Out of Stock,2,Taiwan
73602,Apple,Smartwatch,Watch Series,AP23301,7191.48,USD,13/11/2022,Men's,Resin,33.1,14,Gray,Leather,Gold,50,Mineral,Smart,0,Date,In Stock,2,China
73603,Garmin,Smartwatch,Fenix,GA29149,2540.68,USD,03/02/2022,Women's,Resin,44.3,9.6,Blue,Nylon,Gold,30,Mineral,Digital,40,None,Pre-Order,2,Taiwan
73604,Rolex,Luxury,Oyster Perpetual,RO52691,3672.11,USD,23/09/2023,Women's,Ceramic,33.2,9.1,Silver,Nylon,Red,100,Sapphire,Automatic,40,World Time,Out of Stock,5,Switzerland
73605,Apple,Smartwatch,Watch Series,AP41311,13396.3,USD,19/01/2022,Men's,Stainless Steel,35.6,7.3,Black,Nylon,Gold,200,Gorilla Glass,Smart,40,World Time,Limited Stock,3,China
73606,Timex,Casual,Weekender,TI49175,10611.14,USD,13/08/2024,Unisex,Ceramic,41.9,12,Gold,Leather,Blue,50,Mineral,Quartz,60,Chronograph,Out of Stock,3,USA
73607,Hublot,Luxury,Big Bang,HU78707,1151.36,USD,21/10/2023,Men's,Ceramic,42.4,7.1,Red,Leather,Brown,300,Mineral,Automatic,80,None,Pre-Order,1,Switzerland
73608,Orient,Classic,Bambino,OR97916,3819.92,USD,17/09/2021,Unisex,Titanium,38.4,9.3,Black,Canvas,Green,200,Mineral,Automatic,70,World Time,Out of Stock,3,Japan
73609,Garmin,Smartwatch,Fenix,GA84243,4076.4,USD,02/08/2024,Women's,Aluminum,39.4,9.3,Gray,Rubber,Green,50,Sapphire,Digital,60,World Time,Out of Stock,2,Taiwan
73610,Timex,Casual,Weekender,TI48581,2752.99,USD,10/06/2021,Unisex,Brass,45.6,10.7,Red,Silicone,Black,200,Hardlex,Quartz,0,Moonphase,Limited Stock,5,USA
73611,Rolex,Luxury,Oyster Perpetual,RO73011,13964.54,USD,09/11/2022,Women's,Aluminum,34.7,7.2,Red,Nylon,Red,50,Gorilla Glass,Automatic,80,Moonphase,Pre-Order,1,Switzerland
73612,Citizen,Eco-Drive,Promaster,CI98022,4486.46,USD,22/06/2021,Women's,Stainless Steel,41.9,10.8,Silver,Nylon,Brown,100,Mineral,Solar Powered,0,World Time,Pre-Order,2,Japan
73613,Fossil,Fashion,Gen 6,FO66254,11476.15,USD,26/07/2024,Men's,Aluminum,45.8,13.8,Silver,Rubber,Brown,200,Hardlex,Smart,80,None,Out of Stock,1,USA
73614,Hublot,Luxury,Big Bang,HU37694,10112.89,USD,25/09/2024,Women's,Aluminum,45.2,13.5,Silver,Silicone,Green,200,Plastic,Automatic,0,Moonphase,Limited Stock,2,Switzerland
73615,Apple,Smartwatch,Watch Series,AP10920,3708.51,USD,03/08/2021,Men's,Ceramic,33.7,11.5,Black,Leather,Red,50,Plastic,Smart,80,World Time,Pre-Order,3,China
73616,TAG Heuer,Sports,Carrera,TA13850,6099.92,USD,15/09/2024,Men's,Aluminum,34.8,7.1,Black,Canvas,Gold,50,Plastic,Automatic,0,Date,Limited Stock,2,Switzerland
73617,Seiko,Sports,Prospex,SE89264,11786.62,USD,10/05/2023,Men's,Aluminum,39.6,11.1,White,Rubber,Black,200,Sapphire,Quartz,70,World Time,Pre-Order,5,Japan
73618,Apple,Smartwatch,Watch Series,AP15970,9757.95,USD,05/11/2022,Women's,Aluminum,34.9,13.4,White,Rubber,Gold,50,Gorilla Glass,Smart,70,Chronograph,Pre-Order,4,China
73619,Casio,Digital,G-Shock,CA68024,12001.98,USD,11/02/2022,Unisex,Ceramic,35.9,11.3,White,Silicone,Black,300,Hardlex,Digital,0,World Time,In Stock,3,Japan
73620,Montblanc,Luxury,1858 Geosphere,MO43991,1139.39,USD,05/06/2021,Men's,Ceramic,37.5,7.8,Gray,Canvas,Black,100,Sapphire,Automatic,80,Moonphase,Pre-Order,4,Switzerland
73621,Montblanc,Luxury,1858 Geosphere,MO28945,11335.75,USD,23/12/2022,Unisex,Bronze,44.8,11.8,Green,Rubber,Green,200,Hardlex,Automatic,60,None,Pre-Order,1,Switzerland
73622,Daniel Wellington,Minimalist,Petite,DA31142,1071.44,USD,07/07/2023,Unisex,Bioceramic,35.6,13.5,Gray,Rubber,Gold,50,Hardlex,Quartz,70,Date,Pre-Order,3,Sweden
73623,Daniel Wellington,Minimalist,Petite,DA98011,2869.91,USD,16/10/2023,Women's,Brass,42.6,11.7,Gray,Silicone,Brown,50,Sapphire,Quartz,80,None,Limited Stock,2,Sweden
73624,Hamilton,Military,Khaki Field,HA74254,6628.53,USD,20/12/2021,Women's,Ceramic,35.2,12.1,White,Canvas,Green,100,Sapphire,Automatic,0,Date,Out of Stock,3,USA
73625,Rolex,Luxury,Oyster Perpetual,RO23953,4589.12,USD,02/07/2025,Women's,Titanium,44.8,11.4,Silver,Leather,Green,100,Mineral,Automatic,70,Date,In Stock,3,Switzerland
73626,Garmin,Smartwatch,Fenix,GA13092,488.24,USD,13/02/2021,Men's,Bronze,36.3,13.8,Red,Canvas,Gold,30,Sapphire,Digital,70,Date,Pre-Order,5,Taiwan
73627,Garmin,Smartwatch,Fenix,GA67685,2756.45,USD,30/03/2022,Unisex,Ceramic,45.1,8.6,Red,Nylon,Silver,300,Gorilla Glass,Digital,0,World Time,Pre-Order,4,Taiwan
73628,Longines,Dress,Master Collection,LO89778,10225.55,USD,24/10/2023,Women's,Ceramic,38.3,9.1,Silver,Leather,Green,50,Plastic,Automatic,60,None,Out of Stock,1,Switzerland
73629,Hublot,Luxury,Big Bang,HU38550,6231.62,USD,18/12/2023,Men's,Aluminum,37.1,9.9,White,Nylon,Green,200,Gorilla Glass,Automatic,60,Chronograph,In Stock,2,Switzerland
73630,Tissot,Classic,Le Locle,TI51671,4090.36,USD,06/12/2020,Unisex,Aluminum,36.5,14.7,Gray,Rubber,Red,200,Hardlex,Automatic,60,None,Limited Stock,4,Switzerland
73631,Apple,Smartwatch,Watch Series,AP19171,4709.99,USD,15/10/2021,Men's,Resin,33.9,12.7,Silver,Nylon,Silver,200,Mineral,Smart,40,Date,Pre-Order,2,China
73632,Casio,Digital,G-Shock,CA97664,1481.44,USD,16/12/2020,Men's,Ceramic,43.7,8.7,Gold,Leather,Gold,100,Hardlex,Digital,0,Date,Out of Stock,2,Japan
73633,Timex,Casual,Weekender,TI64591,3708.36,USD,17/03/2024,Women's,Titanium,34.3,11.5,Gold,Mesh Steel,Black,300,Plastic,Quartz,80,World Time,Limited Stock,4,USA
73634,Rolex,Luxury,Oyster Perpetual,RO89536,3374.22,USD,02/02/2023,Women's,Ceramic,34.4,14.9,Red,Nylon,Gold,300,Mineral,Automatic,70,World Time,Pre-Order,2,Switzerland
73635,Tissot,Classic,Le Locle,TI40526,12495.8,USD,18/07/2023,Women's,Ceramic,39,14.2,Gray,Mesh Steel,Red,100,Mineral,Automatic,80,Chronograph,Pre-Order,1,Switzerland
73636,TAG Heuer,Sports,Carrera,TA93343,2809.03,USD,23/04/2021,Men's,Titanium,36.6,13.4,Silver,Leather,Green,300,Mineral,Automatic,70,None,Limited Stock,1,Switzerland
73637,Citizen,Eco-Drive,Promaster,CI95857,4176.44,USD,29/04/2025,Unisex,Resin,32.1,12.3,Red,Leather,Red,30,Hardlex,Solar Powered,70,World Time,Pre-Order,4,Japan
